a433-microservices-item-db-1  | 2023-09-25T02:57:18.072+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1  | 2023-09-25T02:57:18.072+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1  | 2023-09-25T02:57:18.072+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1  | 2023-09-25T02:57:18.683+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:50784 #1 (1 connection now open)
a433-microservices-item-db-1  | 2023-09-25T02:57:18.688+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:50784 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.0-1040-kvm" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
a433-microservices-item-db-1  | 2023-09-25T02:57:19.014+0000 I FTDC     [ftdc] Unclean full-time diagnostic data capture shutdown detected, found interim file, some metrics may have been lost. OK
a433-microservices-item-db-1  | 2023-09-25T02:57:58.672+0000 I NETWORK  [conn1] end connection 172.20.0.3:50784 (0 connections now open)
a433-microservices-item-db-1  | 2023-09-25T02:57:58.881+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
a433-microservices-item-db-1  | 2023-09-25T02:57:58.881+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
a433-microservices-item-db-1  | 2023-09-25T02:57:58.881+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
a433-microservices-item-db-1  | 2023-09-25T02:57:58.882+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
a433-microservices-item-db-1  | 2023-09-25T02:57:58.883+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
a433-microservices-item-db-1  | 2023-09-25T02:57:58.918+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
a433-microservices-item-db-1   | 2023-09-25T02:57:58.918+0000 I CONTROL  [signalProcessingThread] now exiting
a433-microservices-item-db-1   | 2023-09-25T02:57:58.918+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | NODE_ENV: production
a433-microservices-item-app-1  | /app/node_modules/mongodb/lib/mongo_client.js:421
a433-microservices-item-app-1  |           throw err
a433-microservices-item-app-1  |           ^
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | AssertionError [ERR_ASSERTION]: null == Error [MongoError]: failed to connect to server [item-db:27017] on first connect [Error: connect ECONNREFUSED 172.20.0.2:27017
a433-microservices-item-app-1  |     at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1159:16) {
a433-microservices-item-app-1  |   name: 'MongoError'
a433-microservices-item-app-1  | }]
a433-microservices-item-app-1  |     at Pool.<anonymous> (/app/node_modules/mongodb-core/lib/topologies/server.js:336:35)
a433-microservices-item-app-1  |     at Pool.emit (events.js:400:28)
a433-microservices-item-app-1  |     at Connection.<anonymous> (/app/node_modules/mongodb-core/lib/connection/pool.js:280:12)
a433-microservices-item-app-1  |     at Object.onceWrapper (events.js:520:26)
a433-microservices-item-app-1  |     at Connection.emit (e...
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=db98c58e979f
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-09-25T02:59:38.773+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
